"src/quick/items/qquickshadereffectsource.cpp",2
"src/quick/items/qquicksprite_p.h",0
"src/quick/items/qquicksprite.cpp",2
"src/quick/items/qquickspriteengine_p.h",0
"src/quick/items/qquickspriteengine.cpp",0
"src/quick/items/qquickspritesequence_p.h",0
"src/quick/items/qquickspritesequence.cpp",2
"src/quick/items/qquickstateoperations_p.h",1
"src/quick/items/qquickstateoperations.cpp",2
"src/quick/items/qquicktext_p_p.h",1
"src/quick/items/qquicktext_p.h",1
"src/quick/items/qquicktext.cpp",5
"src/quick/items/qquicktextcontrol_p_p.h",0
"src/quick/items/qquicktextcontrol_p.h",0
"src/quick/items/qquicktextcontrol.cpp",0
"src/quick/items/qquicktextdocument.cpp",2
"src/quick/items/qquicktextdocument.h",2
"src/quick/items/qquicktextedit_p_p.h",1
"src/quick/items/qquicktextedit_p.h",1
"src/quick/items/qquicktextedit.cpp",2
"src/quick/items/qquicktextinput_p_p.h",1
"src/quick/items/qquicktextinput_p.h",1
"src/quick/items/qquicktextinput.cpp",3
"src/quick/items/qquicktextnode_p.h",1
"src/quick/items/qquicktextnode.cpp",1
"src/quick/items/qquicktextnodeengine_p.h",1
"src/quick/items/qquicktextnodeengine.cpp",2
"src/quick/items/qquicktextutil_p.h",1
"src/quick/items/qquicktextutil.cpp",1
"src/quick/items/qquicktranslate_p.h",1
"src/quick/items/qquicktranslate.cpp",3
"src/quick/items/qquickview_p.h",1
"src/quick/items/qquickview.cpp",1
"src/quick/items/qquickview.h",1
"src/quick/items/qquickwindow_p.h",1
"src/quick/items/qquickwindow.cpp",5
"src/quick/items/qquickwindow.h",1
"src/quick/items/qquickwindowmodule_p.h",0
"src/quick/items/qquickwindowmodule.cpp",0
"src/quick/qtquick2_p.h",1
"src/quick/qtquick2.cpp",1
"src/quick/qtquickglobal.h",1
"src/quick/scenegraph/coreapi/qsgdefaultrenderer_p.h",0
"src/quick/scenegraph/coreapi/qsgdefaultrenderer.cpp",0
"src/quick/scenegraph/coreapi/qsggeometry_p.h",1
"src/quick/scenegraph/coreapi/qsggeometry.cpp",0
"src/quick/scenegraph/coreapi/qsggeometry.h",0
"src/quick/scenegraph/coreapi/qsgmaterial.cpp",1
"src/quick/scenegraph/coreapi/qsgmaterial.h",1
"src/quick/scenegraph/coreapi/qsgnode.cpp",1
"src/quick/scenegraph/coreapi/qsgnode.h",0
"src/quick/scenegraph/coreapi/qsgnodeupdater_p.h",1
"src/quick/scenegraph/coreapi/qsgnodeupdater.cpp",1
"src/quick/scenegraph/coreapi/qsgrenderer_p.h",1
"src/quick/scenegraph/coreapi/qsgrenderer.cpp",1
"src/quick/scenegraph/coreapi/qsgrendernode_p.h",1
"src/quick/scenegraph/coreapi/qsgrendernode.cpp",1
"src/quick/scenegraph/qsgadaptationlayer_p.h",1
"src/quick/scenegraph/qsgadaptationlayer.cpp",1
"src/quick/scenegraph/qsgcontext_p.h",2
"src/quick/scenegraph/qsgcontext.cpp",3
"src/quick/scenegraph/qsgcontextplugin_p.h",1
"src/quick/scenegraph/qsgcontextplugin.cpp",1
"src/quick/scenegraph/qsgdefaultdistancefieldglyphcache_p.h",2
"src/quick/scenegraph/qsgdefaultdistancefieldglyphcache.cpp",2
"src/quick/scenegraph/qsgdefaultglyphnode_p_p.h",3
"src/quick/scenegraph/qsgdefaultglyphnode_p.cpp",4
"src/quick/scenegraph/qsgdefaultglyphnode_p.h",1
"src/quick/scenegraph/qsgdefaultglyphnode.cpp",2
"src/quick/scenegraph/qsgdefaultimagenode_p.h",1
"src/quick/scenegraph/qsgdefaultimagenode.cpp",1
"src/quick/scenegraph/qsgdefaultrectanglenode_p.h",1
"src/quick/scenegraph/qsgdefaultrectanglenode.cpp",1
"src/quick/scenegraph/qsgdistancefieldglyphnode_p_p.h",1
"src/quick/scenegraph/qsgdistancefieldglyphnode_p.cpp",2
"src/quick/scenegraph/qsgdistancefieldglyphnode_p.h",1
"src/quick/scenegraph/qsgdistancefieldglyphnode.cpp",2
"src/quick/scenegraph/qsgflashnode_p.h",1
"src/quick/scenegraph/qsgflashnode.cpp",1
"src/quick/scenegraph/qsgpathsimplifier_p.h",0
"src/quick/scenegraph/qsgpathsimplifier.cpp",0
"src/quick/scenegraph/qsgrenderloop_p.h",1
"src/quick/scenegraph/qsgrenderloop.cpp",1
"src/quick/scenegraph/qsgshareddistancefieldglyphcache_p.h",1
"src/quick/scenegraph/qsgshareddistancefieldglyphcache.cpp",1
"src/quick/scenegraph/qsgthreadedrenderloop_p.h",1
"src/quick/scenegraph/qsgthreadedrenderloop.cpp",4
"src/quick/scenegraph/qsgwindowsrenderloop_p.h",1
"src/quick/scenegraph/qsgwindowsrenderloop.cpp",1
"src/quick/scenegraph/util/qsgareaallocator_p.h",1
"src/quick/scenegraph/util/qsgareaallocator.cpp",1
"src/quick/scenegraph/util/qsgdepthstencilbuffer_p.h",0
"src/quick/scenegraph/util/qsgdepthstencilbuffer.cpp",0
"src/quick/scenegraph/util/qsgdistancefieldutil_p.h",2
"src/quick/scenegraph/util/qsgdistancefieldutil.cpp",1
"src/quick/scenegraph/util/qsgflatcolormaterial.cpp",1
"src/quick/scenegraph/util/qsgflatcolormaterial.h",1
"src/quick/scenegraph/util/qsgpainternode_p.h",1
"src/quick/scenegraph/util/qsgpainternode.cpp",1
"src/quick/scenegraph/util/qsgsimplematerial.h",1
